Paragraph,Conclusion
"Commercial Bank has named as the 'Best Bank of Sri Lanka' and its history goes back a hundred years starting from 1920s in the British colonial period. And, in 1969, when Commercial Bank of Ceylon became an independent organization, we started a legacy of uninterrupted, exceptional service excellence that continues to this day. In here, individual and business customers can use Commercial Bank of Ceylon PLC's financial services. Under that services current, savings, fixed deposit, margin, and money market accounts, as well as certificates of deposit, are all available. Other than that the bank will provide personal, housing, term, development, import demand, SME, packing credit, auto, and trust receipt. Under the corporate privilege loans are among the company's offerings, as credit and debit cards, mobile phone reload and SMS banking services, salary remittance packages and also utility bill payment services which facilitates to be done using ATM machines or using Internet. When considering further more about the bank process the bank provides corporate clients with letters of credit, shipping and other guarantees, import and export finance, SWIFT facilities, syndicated loans, and payment solutions, as well as project financing, securitization, investment advice and evaluation, working capital financing, domestic and international factoring, Internet banking, and bullion trading services. Actually when it comes to the commercial bank, it is a profit-oriented company that deals in money and credit. It is a financial institution that deals in money in the sense that it takes public deposits of money and keeps them secure in its custody. It also engages in credit, i.e., it extends credit to persons in need by providing advances from monies received as deposits. As a result, it acts as a mobilizer of savings in the economy. As a result, a bank is similar to a reservoir that houses household savings and provides interest-bearing loans to businesspeople and others who require them for productive purposes or investment.","A commercial bank is a type of financial institution that lends money for consumption and investment with the goal of making a profit and accepts deposits from the general public. To distinguish it from retail and investment banks, it can also refer to a bank or a division of a large bank that deals with corporations or large/middle-sized businesses. Private and public banks are both examples of commercial banks."
"Jaykay Marketing Services (Pvt) Limited, part of the Keells Holdings PLC conglomerate, introduced the Keells Super to the Sri Lankan supermarket chain in 1991 by opening doors to the market as a new concept. Jaykay Marketing Services (Pvt) Limited is owned by huge companies in a variety of industries. Jaykay Marketing Services (Pvt.) Limited, which opened Keells Super's first location in Liberty Plaza, now has 109 locations all over the island, expanding the supply chain.
The organization's essential providers included market pioneers like Ceylon Biscuits Limited and Unilever Sri Lanka Limited. Ceylon Colds Stores PLC, the parent company of Keells Supermarket, and Keells Food Products PLC, a related entity, are also Keells Supermarket's direct suppliers. However, when organic and own-label products were introduced, medium-sized suppliers and farmers joined the JMSL in sourcing.
At first, Keells Super's primary business was the sale of a wide range of goods, primarily FMCG (fast-moving consumer goods), such as groceries, household goods, and other necessities that could satisfy the requirements of customers of the time. In 2000, a market trend prompted the development of the Nexus Mobile Loyalty Card system. Each bill received points that could be used later. Every supermarket began to provide payment options for utility bills and prescriptions over time.
However, in order to meet the ever-increasing needs of its customers and keep up with market trends, the company opened its own bakery in there supermarkets, which led to an increase in sales. And in line with the general trend in the market, Jaykay Marketing Services (Pvt.) In December 2000, Limited introduced the Nexus Loyalty program with a points system that allowed customers to later redeem their bills, strengthening their relationship with Keells Supermarket.
""Our passion is to deliver pleasure and nutrition throughout people's lives, through exciting and superior products, whenever and wherever they choose to eat and drink,"" is the vision that they have passionate to make a quality difference in the world.
Under the group practices of Jaykay Marketing Services (Pvt.) Limited it recreate it`s goals and objectives once every 5 years to meet the customers` needs and ultimately to ensure the success of the business process. As part of the company's effort to increase revenue, Keells supermarket owns over 300 products under its own brand name, ""K Choice."" ","Supermarkets must constantly improve their ability to respond to the needs of customers, retailers, shareholders, government regulators, and suppliers in today's business environment. Therefore it is better to focus to have a proper plan to give a full coverage island wide by having outlets to make more engagements while increasing the profit of the organization."
"We were able to gather information by contacting an employer who working with the organization. As secondary sources, we used company websites, and other website links. Our team selected �KFC� can be identified as a global ranking Food and beverage supplier operating in the Food and beverage industry.

KFC Sri Lanka can be identified as a leading company which belongs to the sector of Fast-Moving Consumer Goods (FMCG) in Sri Lanka and the company has 40 restaurants around the country. KFC has many products this includes the KFC Chicken, Burgers, Combo packs, Desserts, Snack, beverages, and side orders.

This report includes a brief analysis about the business environment of the company comprises with SWOT and PESTLE analysis and the report describes about market segmentation, targeting, positioning. In this report an analysis about the marketing mix has been carried out with relevant to KFC. The analysis has been carried out by using all the data and information that has been gathered from reliable sources.

When considering about this report, this includes a brief introduction to KFC and an executive summary. With the use of our marketing knowledge, we have finalized and concluded the report with the use of recommendations of the group members sand suggestions for the growth of the chosen brand.
","This report provides an overview of KFC's marketing in Sri Lanka. The report includes information gathered from a company representative, company websites, and other online sources. KFC is a leading Fast-Moving Consumer Goods (FMCG) company in Sri Lanka with 40 restaurants across the country. The report includes a SWOT and PESTLE analysis of the company's business environment, as well as an analysis of market segmentation, targeting, and positioning. The report also includes an analysis of KFC's marketing mix and concludes with recommendations and suggestions for the brand's growth."
"Jaykay Marketing Services (Pvt) Limited brought the Keells Super to the Sri Lankan supermarket chain in 1991 to introduce a novel concept. First, Keells Super's main business was selling a wide range of products, primarily FMCG (fast-moving consumer goods), such as groceries, household goods, and other essentials that could meet the needs of that era's customers. The Nexus Mobile Loyalty Card scheme was developed in 2000 in response to a market trend. It added points to each bill that could be used later. As time went on, every supermarket offered payment options for prescriptions and utility bills. However, as a company that places a high value on meeting the ever-increasing requirements of its customers as well as the trends in the market, it opened its own bakery in numerous supermarkets, which resulted in an increase in sales. Later in 2018, JMSL was able to make a great change in the history of Sri Lankan supermarkets by changing the name of the first Keells Super location to Keells and turning it into a solar outlet. 
And when it comes to this assignment, the main objective of this assignment to be performed an analysis of the supply chain management process in Jaykay Marketing Services (Pvt) Limited. This report is mainly consisted of Introduction which has highlighted the introduction to the company, mission and the objectives. The work performed during the course of the work by the evaluation team, to identifying the suppliers, warehousing & transportation modes of the selected organization, the evaluation of the effectiveness of the existing supply chain management process, Identify the usage of IT& other Technologies to supply chain management, identify whether the available process and systems are been supportive. Identify the supply chain risk the methods, problematic process of supply chain risk management of Keells. And finally to give suggestions to improve the process.  
","This report focuses on the supply chain management process of Jaykay Marketing Services (Pvt) Limited, which introduced the Keells Supermarket chain in Sri Lanka in 1991. Keells Super sells a wide range of FMCG products, and has introduced a loyalty card scheme and a bakery in many of its supermarkets to meet customer needs and market trends. The report analyzes the company's supplier identification, warehousing, and transportation modes, evaluates the effectiveness of its supply chain management process, and identifies its use of technology. It also identifies supply chain risks and provides recommendations for improvement."
" Wanpaku Sandwich is a new company in Malaysia that produces and sells unique sandwiches. We have set the University Putra Malaysia as the location for the company. We have set Wanpaku Sandwich as our company�s name, incorporating the product�s symbolic sign. Although this sandwich originated in Japan, we have replicated it to make it healthy, delicious, and affordable for the clients.

We want to focus more on quality rather than quantity. Therefore, we focus on the improvement of our sandwich�s quality. It is a unique sandwich that we sell in Malaysia. Our company produces and delivers the best product and service for our customers. Surely, many people will consume our sandwich for its taste. Our primary goal is to ensure food for busy people. Usually, busy people do not get enough time to make food. So, our sandwich would help them to get rid of hunger. Our targeted customer is all UPM students, lecturers, and staff.

For the initial capital, each member contributes RM 20.  So, the total starting capital of the company is RM 200. As for the store, we don�t have any other physical store except UPM. We only deliver our products to customers near UPM areas. We follow the open-order strategy via social media platforms.

For the marketing part, we promote our product through social media such as WhatsApp, Instagram (Wanpaku_Sandwich), and Facebook (Wanpaku_Sandwich).","In conclusion, Wanpaku Sandwich is a new sandwich company in Malaysia that aims to provide healthy, delicious, and affordable sandwiches to busy people. The company is focused on improving the quality of its products and services and has set its location at the University Putra Malaysia. The company's targeted customers are all UPM students, lecturers, and staff, and they use social media platforms for marketing purposes. The initial capital of the company is RM 200, with each member contributing RM 20. The company follows an open-order strategy and only delivers its products to customers near the UPM areas."
"Corporate goals, such as sales quotas or increases in market share, do not always take into account employee motivation. Motivating employees is thus a challenge and an opportunity for firms that want to outperform their competitors. For a firm to achieve its goals, its employees must be motivated to perform effectively.
Empirical research conducted with employees of a subject firm,
OAISYS, echoed theories published by leading authorities in
journals, books, and online reports. These theories argue that
monetary incentives are not the primary drivers for employee
motivation. Clear expectations, communication of progress toward
goals, accountability, and public appreciation are common primary
drivers. A firm aiming to achieve superior performance should
focus on these activities. All firms strive to maximize performance. Such performance is
typically defined by one or more tangible measurements such as
total sales, earnings per share, return on assets, and so on. The
performance of a firm is created and delivered by its employees.
Employees, however, are not necessarily motivated to do their
part to maximize a firm�s performance. Factors that motivate
employees can be much more complex than corporate goals. This
report will define the problem of employee motivation in one
company and examine potential solutions.
OAISYS is a small business based in Tempe, Arizona, that
manufactures business call recording products. Currently OAISYS
employs 27 people. The business has been notably successful,
generating annual compound sales growth of over 20% during
the last three years. The company�s management and board of
directors expect revenue growth to accelerate over the coming
three years to an annual compound rate of over 35%. This
ambitious corporate goal will require maximum productivity and
effectiveness from all employees, both current and prospective.
OAISYS�s management requested an analysis of its current
personnel structure focused on the alignment of individual
employee motivation with its corporate goal.","while corporate goals such as sales quotas and market share are important, they do not always consider the employee's motivation. Motivating employees is crucial to the success of a company, and monetary incentives are not the only solution. Research conducted with OAISYS employees supports the idea that clear expectations, communication of progress, accountability, and public appreciation are primary drivers of motivation. Therefore, companies should focus on these activities to achieve superior performance. Companies that prioritize employee motivation will have a competitive advantage over those who solely focus on corporate goals without considering the needs of their employees."
"The global online gambling market will grow from $81.08 billion in 2022 to $88.65 billion in 2023 at a compound annual growth rate (CAGR) of 9.3%. The Russia-Ukraine war disrupted the chances of global economic recovery from the COVID-19 pandemic, at least in the short term. The war between these two countries has led to economic sanctions on multiple countries, surge in commodity prices, and supply chain disruptions, causing inflation across goods and services effecting many markets across the globe. The online gambling market is expected to grow to $125.6 billion in 2027 at a CAGR of 9.1%. The online gambling betting market includes revenues earned by entities operating facilities that provide services such as online betting (digital table games and sports bets). The online gambling market comprises revenue generated by remote gaming activities using the internet and desktop and mobile devices. The market includes gambling establishments developing online sports betting, casino, bingo, lotteries, and poker games, among others. The market value includes the value of related goods sold by the service provider or included within the service offering. Only goods and services traded between entities or sold to end consumers are included.

Online Gambling is the use of the internet for the act of wagering money or something of value on an event with an uncertain outcome that is not under the gambler's control, with the intent of winning something else of value, often money. Asia Pacific was the largest region in the online gambling market in 2022. Eastern Europe is expected to be the fastest-growing region in the forecast period. The regions covered in the online gambling market are Asia-Pacific, Western Europe, Eastern Europe, North America, South America, the Middle East, and Africa.

The main game types of online gambling are betting, casinos, lottery, poker, online bingo, and others. A lottery is a type of gambling in which numbers are drawn at random for a prize. The games are played on various devices such as desktops, mobiles, and others. The different components include software and services.
","the global online gambling market is expected to continue its growth trajectory despite the disruption caused by the Russia-Ukraine war on the global economy. The market is projected to reach $88.65 billion in 2023 and $125.6 billion in 2027, with the Asia-Pacific region currently being the largest market and Eastern Europe predicted to be the fastest-growing. The main game types include betting, casinos, lottery, poker, online bingo, and others, with the games being played on various devices such as desktops and mobiles. Overall, the online gambling market presents significant opportunities for businesses operating in this space, including software and service providers."
This article reviews the case for business schools becoming more seriously involved in teaching and research in the field of entrepreneurship and small business. It begins by reviewing some of the global pressures that underpin the need for management schools to devote more serious attention to these phenomena. It then argues the central case for a clear conceptual stance to be taken on the relationship between small business and entrepreneurship as a basis for core programme and pedagogical design. It finally reviews the key issues of change that will confront business schools wishing to move into this area under the three headings of: involvement with the community; teaching and research; and organization design.,"This article advocates for business schools to prioritize teaching and research in entrepreneurship and small business. It discusses the global pressures driving this need and argues for a clear conceptual stance to guide program design. The article also highlights the challenges that business schools may face when moving into this area, including community involvement, teaching and research, and organizational design. Overall, the article provides a compelling case for business schools to take entrepreneurship and small business education seriously."
"The continued development of e-business models has triggered a dramatic transition of customers�roles in a variety of service production and delivery processes. In the coproduction of service, the scale and scope of customers� participation have been significantly transformed and enhanced by newe-business models and technology. This transition calls for a newunderstanding of customers� roles in service delivery systems. The concept of�customer efficiency�is crucial for the successful management of systems where customers are actively engaged in service production and delivery processes. This article presents the concept of customer efficiency management (CEM), studies its relationship with other key customer characteristics, and explores its potential impact on e-business management.","E-business models have transformed customers' roles in service production and delivery processes. The concept of customer efficiency is essential for managing these systems, which involve active customer engagement. This article introduces the concept of customer efficiency management (CEM), its relationship with other key customer characteristics, and its potential impact on e-business management. The article emphasizes the need for a new understanding of customers' roles in service delivery systems and highlights the importance of CEM for successfully managing customer participation in service delivery processes."
"How should we name our new journal? What could be the title, statement and scope differentiation content to brief our audience? Are those features described clearly and richly enough? Bottom line, does all of that have any association with bibliometric performance (output and citations)? Leading journals (e.g. Scientometrics, Journal of Information Science,Academy of Management Journal, or Research Policy) possess a cemented cumulative advantage , and these questions are not vertical priorities for their editors and administrators. Granted, publishing space in such journals is scarce, especially for researchers outside premier institutions in developing countries.  However, the landscape has been changing. Between 2019 and 2020, the bibliographic database Scopus added 820 new journals.  Six?percent of the journals were classified into the subject area of business, management and accounting (BMA). While new periodicals are emerging, readers and authors are eager to look around for journals with a clear and attractive title and statement/scope that eventually will catch or fit their attention, research interests and subsequent use. When it comes to choosing a journal probably to publish a researcher�s work from developing countries, some shortcuts can be considered � looking at journal rankings, indexation or manuscript-journal matching services (e.g. Elsevier�s or Wiley�s journal finder and Springer�s journal suggester). Masten and Ashcraft outlined the proper characteristics to avoid predatory and identify credible journals, such as (1) intuitive website, (2) clear editor and editorial board information, (3) clear publisher information, (4) clear archiving and indexing and (5) clear identification of the journal affiliation/sponsorship. This study focuses on the factors directly related to the questions outlined at the beginning of this introduction: an intuitive website, clear publisher information and journal characteristics, hereafter a journal�s mission statement (JMS). Semantic networks will be used for analysing the structure of titles and JMSs. Readability and lexical diversity metrics will be used for analysing JMSs� attributes. Titles were excluded from the latter analysis considering that titles per se are too short for exploring their lexical diversity or readability compared with JMS. On that count, this study contributes to a structural assessment of journal titles and JMS quality in terms of readability and lexical diversity. It also adds to the literature on strategic planning and scholarly communication meta-knowledge Results and open access data sets could help research institutions and editorial strategic planning activities to launch new journals or improve the JMS of existing periodicals. Following this introduction, we present the data, methods, and software used. Then, we present the discussion of the results. Finally, we outline the conclusions, limitations and further research agenda.","This article discusses the importance of having a clear and attractive title and scope differentiation for new academic journals. While leading journals have a cumulative advantage, there is a growing number of emerging journals in the field of business, management, and accounting. The study examines factors such as an intuitive website, clear publisher information, and a journal's mission statement to analyze the structure and quality of journal titles and JMSs in terms of readability and lexical diversity. The results could assist research institutions and editorial strategic planning activities to launch new journals or improve existing periodicals. Overall, this article provides valuable insights into the strategic planning and scholarly communication meta-knowledge of academic journal publishing."
